%time,field.header.seq,field.header.stamp,field.header.frame_id,field.airspeed,field.groundspeed,field.heading,field.throttle,field.altitude,field.climb
1574069785656970517,52,1574069785656874034,,0.375000029802,0.170207381248,62,0.0,655.070007324,-0.0577037371695
1574069785893120940,53,1574069785892816538,,0.236000016332,0.151166200638,62,0.0,655.049987793,-0.0623422153294
1574069786129778862,54,1574069786129603921,,0.325000017881,0.124993093312,62,0.0,655.039978027,-0.0650432109833
1574069786376767656,55,1574069786376428803,,0.181000009179,0.105153605342,62,0.0,655.019958496,-0.0678922459483
1574069786612616476,56,1574069786612417785,,0.262000024319,0.0939974859357,62,0.0,655.010009766,-0.0703326314688
1574069786860171298,57,1574069786859773159,,0.0210000015795,0.0863974168897,62,0.0,655.0,-0.0713374912739
1574069787095272446,58,1574069787095043917,,0.302000015974,0.0758807733655,62,0.0,654.989990234,-0.0749932527542
1574069787337587173,59,1574069787337223774,,0.268000006676,0.0646377280354,62,0.0,654.969970703,-0.0789042562246
1574069787579280381,60,1574069787579099912,,0.458000034094,0.0569223240018,62,0.0,654.959960938,-0.0800271481276
1574069787828685237,61,1574069787828327033,,0.279000014067,0.0629823803902,62,0.0,654.950012207,-0.0793864130974
1574069788057528113,62,1574069788057342585,,0.20000000298,0.0662833452225,62,0.0,654.950012207,-0.0792465209961
1574069788296796439,63,1574069788296422291,,0.261000007391,0.0559468716383,62,0.0,654.940002441,-0.0789156705141
1574069788542841388,64,1574069788542635647,,0.0400000028312,0.0392179377377,62,0.0,654.950012207,-0.0768859237432
1574069788780003613,65,1574069788779623687,,0.0500000007451,0.0321426577866,62,0.0,654.940002441,-0.0739351883531
1574069789010926050,66,1574069789010782990,,0.0870000049472,0.0261785220355,62,0.0,654.929992676,-0.0736569166183
1574069789263153779,67,1574069789262763539,,0.0810000002384,0.0243640653789,62,0.0,654.929992676,-0.0730645507574
1574069789491139217,68,1574069789490905111,,0.154000014067,0.0324784517288,62,0.0,654.929992676,-0.071332462132
1574069789740751757,69,1574069789740402204,,0.259000003338,0.038028113544,62,0.0,654.929992676,-0.0692223235965
