%time,field.header.seq,field.header.stamp,field.header.frame_id,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z
1574069785713000462,53,1574069785712742836,base_link,0.160412214926,-0.00335201118872,-0.0595300302644,0.00021386629669,0.000151484040543,0.00200961623341
1574069785953176211,54,1574069785952704773,base_link,0.132591943511,-0.0254890981906,-0.0624897665299,-0.00118736294098,-0.000857609207742,-0.00125597196165
1574069786193065699,55,1574069786192777145,base_link,0.100022561665,-0.0510937498067,-0.066240500631,0.00171853485517,-0.00154274713714,-0.0011252167169
1574069786436781153,56,1574069786436379125,base_link,0.0787794005618,-0.0589686996725,-0.068169028303,0.000330002105329,0.000270217075013,0.00153093470726
1574069786673417035,57,1574069786673173222,base_link,0.0725350769962,-0.0535045742486,-0.0687481389014,0.000994224566966,-0.000740421877708,-0.00359525019303
1574069786913604714,58,1574069786913132463,base_link,0.0671599185534,-0.0457081182977,-0.0723022562306,0.000542726251297,-0.00027768232394,-0.000889684772119
1574069787152811102,59,1574069787152272004,base_link,0.0620054055489,-0.0321997089848,-0.0762104274107,7.65395816416e-06,-0.000120354408864,-0.000310545903631
1574069787393834904,60,1574069787393422648,base_link,0.0503735046671,-0.0319420518411,-0.0792772520169,-0.00145099288784,0.00115173927043,-0.000195300322957
1574069787636377368,61,1574069787636076753,base_link,0.0344734087356,-0.0516560329113,-0.0785870234361,-0.000282414956018,0.000469061313197,0.000168265542015
1574069787876186045,62,1574069787875732097,base_link,0.0106768404952,-0.066890416548,-0.0779074160583,0.000588051683735,0.000968357431702,-0.000151683343574
1574069788113244236,63,1574069788112958588,base_link,0.00255688364658,-0.0620306040744,-0.0785465075805,0.000726824160665,0.00072021887172,-0.00141322542913
1574069788354831251,64,1574069788354338323,base_link,0.00238046509522,-0.0465941021831,-0.0769822565206,-0.000581290281843,0.00172781141009,0.000447861268185
1574069788593401869,65,1574069788593095599,base_link,0.000126720668007,-0.0357392147074,-0.0744255846405,-0.00172176631168,0.00150987983216,0.000671123387292
1574069788833643081,66,1574069788833199200,base_link,-0.0046674706801,-0.0295695212828,-0.073992705852,-0.000181803712621,-0.00016673564096,-0.00195859721862
1574069789072898408,67,1574069789072666270,base_link,-0.0082087911781,-0.0233242383383,-0.0736089162968,0.000948657281697,-0.00102748442441,0.000799049274065
1574069789313638434,68,1574069789313167484,base_link,-0.0128881041589,-0.0262397135179,-0.0719247531429,-0.000276575534372,0.000935694144573,-0.000565309950616
1574069789555292160,69,1574069789554959277,base_link,-0.0179985086658,-0.0326745044604,-0.0689538823033,-0.000882610329427,-0.000706063234247,-0.00273140566424
1574069789792942816,70,1574069789792456877,base_link,-0.019310909489,-0.0296108833058,-0.0693410713462,0.000916902616154,0.000218247179873,0.00149317726027
1574069790036241758,71,1574069790035945911,base_link,-0.0245875711351,-0.0277477193491,-0.0686684017587,0.00103902374394,0.000834432488773,-0.000454979657661
1574069790273406246,72,1574069790273011778,base_link,-0.0345347984207,-0.0333013320424,-0.0659189601095,-0.00042507762555,0.000855638529174,-0.00212119240314
1574069790512690851,73,1574069790512409504,base_link,-0.0273204528824,-0.0294217299117,-0.0651248892214,0.00195032777265,0.00108095898759,-0.00103707797825
1574069790752260029,74,1574069790752043660,base_link,-0.0252462480649,-0.0219180274384,-0.0656566051193,-4.18709823862e-05,0.000296873360639,-0.000136186135933
