%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1574069785712957881,0,1574069785712742836,map,-0.553047657013,3.18225049973,-0.863592863083,-0.00762118484202,-0.00468710425595,-0.234685298668,-0.972030225448
1574069785953079330,1,1574069785952704773,map,-0.528660297394,3.11952161789,-0.881651878357,-0.00784475057036,-0.00450288658007,-0.234648046319,-0.972038311107
1574069786193029716,2,1574069786192777145,map,-0.517265796661,3.03704595566,-0.897155761719,-0.00812040129026,-0.0042727984564,-0.234578753277,-0.972053810644
1574069786436739249,3,1574069786436379125,map,-0.505855083466,2.99125289917,-0.908192396164,-0.00840423157,-0.00401012163431,-0.234530372136,-0.972064191482
1574069786673411261,4,1574069786673173222,map,-0.479903697968,2.98811817169,-0.916147232056,-0.00848870438633,-0.0038940964752,-0.234552424653,-0.972058608315
1574069786913499941,5,1574069786913132463,map,-0.456182956696,2.99155235291,-0.9314930439,-0.00841163517399,-0.00383170561874,-0.234527380689,-0.972065568845
1574069787152777056,6,1574069787152272004,map,-0.439661502838,3.00884103775,-0.947969913483,-0.00825910729944,-0.00383209051658,-0.234504787148,-0.97207232603
1574069787393805007,7,1574069787393422648,map,-0.422655582428,2.99549722672,-0.960315704346,-0.00813195429701,-0.00378735645852,-0.234542563664,-0.972064459324
1574069787636350230,8,1574069787636076753,map,-0.394902706146,2.93595743179,-0.966193914413,-0.00816699775454,-0.00369788800433,-0.234511614253,-0.972071977043
1574069787876167692,9,1574069787875732097,map,-0.384650707245,2.86764764786,-0.972998857498,-0.0083858521853,-0.00361989864289,-0.234486903425,-0.972076368368
1574069788113187697,10,1574069788112958588,map,-0.365975856781,2.84956264496,-0.978034973145,-0.00854835033375,-0.0035275356847,-0.234472696634,-0.972078719411
1574069788354773817,11,1574069788354338323,map,-0.345016002655,2.86327886581,-0.981565237045,-0.00849511963175,-0.00350270244315,-0.234469065859,-0.97208015162
1574069788593359167,12,1574069788593095599,map,-0.325778484344,2.87174224854,-0.979526758194,-0.0082645899616,-0.00350230774711,-0.234504769373,-0.972073527844
1574069788833569797,13,1574069788833199200,map,-0.308845043182,2.87033510208,-0.986785411835,-0.00812328660595,-0.00348570895163,-0.234479732115,-0.972080818284
1574069789072854029,14,1574069789072666270,map,-0.289493083954,2.8682513237,-0.99546957016,-0.00802101956136,-0.00342572050478,-0.234410079542,-0.972098679298
1574069789313586019,15,1574069789313167484,map,-0.263808727264,2.84585571289,-0.995669603348,-0.00793956671215,-0.00342457221577,-0.234367084072,-0.972109718853
1574069789555230077,16,1574069789554959277,map,-0.234778881073,2.81148290634,-0.994208812714,-0.0079684654531,-0.00342358995051,-0.234343992724,-0.972115052689
1574069789792876134,17,1574069789792456877,map,-0.209600448608,2.79605007172,-0.998376607895,-0.00803530119973,-0.00345038720001,-0.234341745308,-0.972114949566
1574069790036211339,18,1574069790035945911,map,-0.192202568054,2.77526903152,-0.999324083328,-0.00804206308249,-0.00351291209473,-0.234355292835,-0.972111403796
1574069790273364143,19,1574069790273011778,map,-0.177440643311,2.72700023651,-0.997310161591,-0.00805416003972,-0.00345665375328,-0.234282440288,-0.97212906562
1574069790512681819,20,1574069790512409504,map,-0.143303871155,2.71402740479,-0.997075796127,-0.00807725577618,-0.00344693641684,-0.234232549537,-0.972140930784
1574069790752240974,21,1574069790752043660,map,-0.119800567627,2.706199646,-0.997776031494,-0.00800928122994,-0.00351224533395,-0.234238058332,-0.972139932096
1574069790992821513,22,1574069790992592200,map,-0.107394695282,2.70743703842,-1.00338101387,-0.00794749619645,-0.00354084768992,-0.23423057683,-0.972142138054
1574069791234542657,23,1574069791234131396,map,-0.0945625305176,2.71700668335,-1.00830507278,-0.00781388878349,-0.00354939568599,-0.234218229502,-0.972146164885
1574069791471519175,24,1574069791471369709,map,-0.0694470405579,2.69447946548,-1.00244235992,-0.00770449882175,-0.00354860280753,-0.23425803222,-0.972137450393
1574069791713723182,25,1574069791713299035,map,-0.0467414855957,2.66254520416,-0.997560977936,-0.00772775838844,-0.00358798500251,-0.234247788523,-0.972139589609
1574069791952178767,26,1574069791951876863,map,-0.021665096283,2.61710357666,-0.996549367905,-0.00777064253799,-0.00362070393617,-0.234299287822,-0.972126715683
1574069792193370594,27,1574069792193045727,map,0.00496244430542,2.5641002655,-0.996847629547,-0.00787661796634,-0.00363575091728,-0.234295686148,-0.972126674697
1574069792433494172,28,1574069792433272599,map,0.0258364677429,2.51294231415,-0.9936876297,-0.00794548163987,-0.0036479243209,-0.23429448426,-0.972126358358
1574069792674456590,29,1574069792674010095,map,0.0463099479675,2.45338153839,-0.984147310257,-0.00800572528969,-0.00369625721243,-0.234350321613,-0.972112222331
1574069792913283748,30,1574069792912179005,map,0.0686492919922,2.39873170853,-0.97843503952,-0.00808970757858,-0.00372429680689,-0.234308031591,-0.972121614088
1574069793152521706,31,1574069793152163309,map,0.0875129699707,2.34587907791,-0.973052978516,-0.00813311152656,-0.00369442043082,-0.234315435934,-0.972119581244
1574069793393046746,32,1574069793392849025,map,0.117243289948,2.31555366516,-0.964756250381,-0.00811001742792,-0.00375135581999,-0.234292096242,-0.972125181541
1574069793642278198,33,1574069793642069782,map,0.144791603088,2.27455759048,-0.952034235001,-0.00808366595217,-0.0038448327718,-0.234283941494,-0.97212700115
1574069793913648298,34,1574069793913261224,map,0.0231213569641,-0.112913608551,0.0277915000916,-0.00816495802619,-0.00388108706011,-0.234311678081,-0.972119492726
1574069794213222015,35,1574069794212810935,map,0.0530962944031,-0.233201503754,0.0478956699371,-0.00838500056766,-0.00384707158761,-0.234311191108,-0.972117872239
1574069794532507703,36,1574069794532269838,map,0.08589220047,-0.293656349182,0.0693790912628,-0.00849732124295,-0.00382429922669,-0.234254974259,-0.972130535115
1574069794793606404,37,1574069794793198661,map,0.12467622757,-0.332818508148,0.0796785354614,-0.00838761279655,-0.00386677440161,-0.234259013419,-0.972130346527
1574069795072893069,38,1574069795072660999,map,0.169528007507,-0.353395462036,0.0877492427826,-0.00824044099266,-0.00393925290673,-0.234299279492,-0.972121610216
1574069795353723509,39,1574069795353487221,map,0.216604232788,-0.362050056458,0.0972239971161,-0.00806705025041,-0.00406808238623,-0.23433790474,-0.97211322376
1574069795688407167,40,1574069795688026709,map,0.263695716858,-0.412758350372,0.119837760925,-0.00793514420745,-0.00412817096484,-0.234344465149,-0.972112474637
1574069795916776612,41,1574069795916562090,map,0.304055690765,-0.479115009308,0.129967689514,-0.00798768196371,-0.00413352352784,-0.234398376508,-0.972099023768
1574069796200829834,42,1574069796200448921,map,0.346764564514,-0.55276632309,0.133882522583,-0.00807631119516,-0.00409754759836,-0.234541683421,-0.972063877551
1574069796482102589,43,1574069796481953435,map,0.40184879303,-0.677478313446,0.147634029388,-0.00821965153497,-0.00410197819542,-0.234523818229,-0.972066967748
1574069796754566571,44,1574069796754249371,map,0.452451229095,-0.807791233063,0.161304712296,-0.00848567865496,-0.00409781294048,-0.234568054864,-0.972054025672
1574069797034833370,45,1574069797034535703,map,0.49858045578,-0.946056842804,0.171406269073,-0.00866286144734,-0.00414453297768,-0.234649426552,-0.97203262512
1574069797339680347,46,1574069797339537429,map,0.52739572525,-1.09354734421,0.186124324799,-0.00886091478134,-0.00407030620033,-0.234715097515,-0.972015298128
1574069797614959825,47,1574069797614636803,map,0.523246765137,-1.21324872971,0.204846143723,-0.00881692820427,-0.00397786254477,-0.234753442839,-0.972006820687
1574069797894808240,48,1574069797894548650,map,0.544364452362,-1.30457448959,0.216463327408,-0.00875536017927,-0.00387531475499,-0.234768729061,-0.972004099507
1574069798173875644,49,1574069798173446944,map,0.58385848999,-1.39121103287,0.218978881836,-0.00866059265596,-0.00392433044367,-0.234847002443,-0.971985843111
1574069798434508706,50,1574069798434260813,map,0.632650375366,-1.4649643898,0.217086553574,-0.00866059265596,-0.00392433044367,-0.234847002443,-0.971985843111
1574069798697491147,51,1574069798697091925,map,0.709968566895,-1.4914355278,0.21747803688,-0.00860816875625,-0.00404082401923,-0.234969892689,-0.971956131058
1574069799003179318,52,1574069799002947792,map,0.797792434692,-1.53899431229,0.212622880936,-0.00842046303949,-0.00423146703027,-0.235043377577,-0.971939196219
1574069799271946565,53,1574069799271769656,map,0.88018321991,-1.57751893997,0.210500001907,-0.00825616599358,-0.00441202566608,-0.235179817924,-0.971906797483
1574069799557902025,54,1574069799557535300,map,0.952318191528,-1.59630537033,0.206295251846,-0.0081703927239,-0.00457323554892,-0.235230739316,-0.971894453879
1574069799835449985,55,1574069799835260472,map,1.0280456543,-1.60043382645,0.196295499802,-0.00798797470978,-0.00461803117659,-0.23532988402,-0.971871756836
1574069800133544639,56,1574069800133135899,map,1.08748722076,-1.59591054916,0.182893037796,-0.0078335845129,-0.00446332993932,-0.235476655408,-0.971838185295
1574069800431053517,57,1574069800430839940,map,1.19157123566,-1.60311460495,0.16956114769,-0.00723053304562,-0.00648044408705,-0.235594279321,-0.971802993815
1574069800696878366,58,1574069800696484420,map,1.30255365372,-1.62452459335,0.167003393173,-0.00738295566395,-0.00539757728895,-0.235701508935,-0.971782463729
1574069800973010606,59,1574069800972580309,map,1.40746498108,-1.64061403275,0.161436080933,-0.00748802908976,-0.00463270506069,-0.235464633318,-0.971843029465
1574069801294687889,60,1574069801294475193,map,1.4743514061,-1.6534743309,0.157100200653,-0.00775700069821,-0.00330421623025,-0.235321511273,-0.971881009912
1574069801554507785,61,1574069801553896042,map,1.52688121796,-1.68825769424,0.161999940872,-0.00754536638174,-0.00364996128693,-0.235185979283,-0.971914245383
1574069801832613185,62,1574069801832429809,map,1.56538295746,-1.70605707169,0.170669794083,-0.00729700413177,-0.00441727481496,-0.235295705759,-0.971886398848
1574069802133890522,63,1574069802133497271,map,1.63642835617,-1.72590494156,0.177448511124,-0.00640620720717,-0.00862619536697,-0.235091916041,-0.971913751459
1574069802412101914,64,1574069802411895132,map,1.67291545868,-1.72770643234,0.185823202133,-0.00626771766078,-0.0081829010016,-0.234293348008,-0.972111301717
1574069802694024508,65,1574069802693564524,map,1.7241692543,-1.71002912521,0.192037582397,-0.00606674699867,-0.00882763160455,-0.234577059018,-0.972038513066
1574069802972380646,66,1574069802972103780,map,1.75354909897,-1.68310880661,0.1965944767,-0.00609945919659,-0.00782076546417,-0.234535701739,-0.972056910286
1574069803234792699,67,1574069803234351092,map,1.75980901718,-1.65109300613,0.189723014832,-0.00591697391761,-0.00790394286434,-0.235076152337,-0.971926807794
1574069803516159509,68,1574069803515781783,map,1.74995708466,-1.63026762009,0.18562078476,-0.00550313922877,-0.00806869710608,-0.235202170979,-0.971897397029
1574069803832548803,69,1574069803832359977,map,1.76587152481,-1.61360311508,0.171518325806,-0.00580709052264,-0.00669650920228,-0.235010319318,-0.971952459886
1574069804118043599,70,1574069804117601133,map,1.83535718918,-1.57404470444,0.155454397202,-0.00577436108685,-0.00755526764448,-0.235082262431,-0.971928960663
1574069804388290531,71,1574069804388021614,map,1.86326646805,-1.5526509285,0.146318912506,-0.00589643748489,-0.00891169218152,-0.235730081454,-0.971759817272
