%time,field.header.seq,field.header.stamp,field.header.frame_id,field.fluid_pressure,field.variance
1574069785591636207,52,1574069785591444635,base_link,0.0,0.0
1574069785830251331,53,1574069785830014844,base_link,0.0,0.0
1574069786080831397,54,1574069786080554768,base_link,0.0,0.0
1574069786320914535,55,1574069786320468094,base_link,0.0,0.0
1574069786563252483,56,1574069786563029324,base_link,0.0,0.0
1574069786809021192,57,1574069786808544042,base_link,0.0,0.0
1574069787033280908,58,1574069787033122224,base_link,0.0,0.0
1574069787279819867,59,1574069787279351046,base_link,0.0,0.0
1574069787527739031,60,1574069787527432869,base_link,0.0,0.0
1574069787760121694,61,1574069787759700375,base_link,0.0,0.0
1574069787995222577,62,1574069787994905131,base_link,0.0,0.0
1574069788233009114,63,1574069788232541824,base_link,0.0,0.0
1574069788481124711,64,1574069788480847331,base_link,0.0,0.0
1574069788713967688,65,1574069788713498567,base_link,0.0,0.0
1574069788951893062,66,1574069788951609431,base_link,0.0,0.0
1574069789196663002,67,1574069789196450882,base_link,0.0,0.0
1574069789449085931,68,1574069789448624228,base_link,0.0,0.0
1574069789671686574,69,1574069789671429201,base_link,0.0,0.0
1574069789911871030,70,1574069789911598121,base_link,0.0,0.0
1574069790161150105,71,1574069790160971666,base_link,0.0,0.0
1574069790393202564,72,1574069790392794183,base_link,0.0,0.0
1574069790651048672,73,1574069790650744752,base_link,0.0,0.0
1574069790876580035,74,1574069790876197879,base_link,0.0,0.0
1574069791120450524,75,1574069791120219877,base_link,0.0,0.0
1574069791357492458,76,1574069791357188270,base_link,0.0,0.0
1574069791591681351,77,1574069791591279953,base_link,0.0,0.0
1574069791831692698,78,1574069791831316823,base_link,0.0,0.0
1574069792074829295,79,1574069792074604083,base_link,0.0,0.0
1574069792323356132,80,1574069792322926307,base_link,0.0,0.0
1574069792559969655,81,1574069792559727542,base_link,0.0,0.0
1574069792805433720,82,1574069792804916963,base_link,0.0,0.0
1574069793042073337,83,1574069793041787952,base_link,0.0,0.0
1574069793281824105,84,1574069793281397202,base_link,0.0,0.0
1574069793512649191,85,1574069793512437076,base_link,0.0,0.0
1574069793766925766,86,1574069793766484275,base_link,0.0,0.0
1574069793947180224,87,1574069793946983601,base_link,0.0,0.0
1574069794183784271,88,1574069794183286546,base_link,0.0,0.0
1574069794433408054,89,1574069794433129731,base_link,0.0,0.0
1574069794667934379,90,1574069794667669702,base_link,0.0,0.0
1574069794905559939,91,1574069794905325353,base_link,0.0,0.0
1574069795146895589,92,1574069795146457300,base_link,0.0,0.0
1574069795393567207,93,1574069795393422120,base_link,0.0,0.0
1574069795656319557,94,1574069795655908420,base_link,0.0,0.0
1574069795867894969,95,1574069795867671116,base_link,0.0,0.0
1574069796113433627,96,1574069796113003059,base_link,0.0,0.0
1574069796366041804,97,1574069796365723433,base_link,0.0,0.0
1574069796612802034,98,1574069796612409577,base_link,0.0,0.0
1574069796831313739,99,1574069796830920225,base_link,0.0,0.0
1574069797071884558,100,1574069797071675100,base_link,0.0,0.0
1574069797323345864,101,1574069797323140079,base_link,0.0,0.0
1574069797559145296,102,1574069797558728942,base_link,0.0,0.0
1574069797786998206,103,1574069797786703409,base_link,0.0,0.0
1574069798030611315,104,1574069798030393526,base_link,0.0,0.0
1574069798275596670,105,1574069798275177721,base_link,0.0,0.0
1574069798504315879,106,1574069798504117156,base_link,0.0,0.0
1574069798748593282,107,1574069798748180303,base_link,0.0,0.0
1574069798994513811,108,1574069798994243209,base_link,0.0,0.0
1574069799252891369,109,1574069799252490692,base_link,0.0,0.0
1574069799468133081,110,1574069799467854260,base_link,0.0,0.0
1574069799716825525,111,1574069799716427247,base_link,0.0,0.0
1574069799945171326,112,1574069799944899030,base_link,0.0,0.0
1574069800189500187,113,1574069800189088048,base_link,0.0,0.0
1574069800452208683,114,1574069800451930642,base_link,0.0,0.0
1574069800665673625,115,1574069800665231070,base_link,0.0,0.0
1574069800908171523,116,1574069800907941192,base_link,0.0,0.0
1574069801154209267,117,1574069801153773215,base_link,0.0,0.0
1574069801388425906,118,1574069801388195942,base_link,0.0,0.0
1574069801648312327,119,1574069801647870339,base_link,0.0,0.0
1574069801869880583,120,1574069801869674904,base_link,0.0,0.0
1574069802105682224,121,1574069802105246651,base_link,0.0,0.0
1574069802351656647,122,1574069802351392347,base_link,0.0,0.0
1574069802635645045,123,1574069802635211358,base_link,0.0,0.0
1574069802833418225,124,1574069802833225225,base_link,0.0,0.0
1574069803076322661,125,1574069803075847552,base_link,0.0,0.0
1574069803307563176,126,1574069803307373798,base_link,0.0,0.0
1574069803544291513,127,1574069803543831060,base_link,0.0,0.0
1574069803815160602,128,1574069803814890881,base_link,0.0,0.0
1574069804025831056,129,1574069804025379640,base_link,0.0,0.0
1574069804274569754,130,1574069804274381992,base_link,0.0,0.0
1574069804508849825,131,1574069804508432902,base_link,0.0,0.0
1574069804773398179,132,1574069804773222982,base_link,0.0,0.0
1574069804992345819,133,1574069804991915455,base_link,0.0,0.0
1574069805225624312,134,1574069805225399757,base_link,0.0,0.0
1574069805480902392,135,1574069805480466564,base_link,0.0,0.0
1574069805732893602,136,1574069805732617538,base_link,0.0,0.0
1574069805975861643,137,1574069805975432472,base_link,0.0,0.0
1574069806186030270,138,1574069806185749069,base_link,0.0,0.0
1574069806442695924,139,1574069806442583451,base_link,0.0,0.0
1574069806692772043,140,1574069806692540164,base_link,0.0,0.0
1574069806931752936,141,1574069806931534920,base_link,0.0,0.0
1574069807143297789,142,1574069807142900581,base_link,0.0,0.0
1574069807384534008,143,1574069807384312871,base_link,0.0,0.0
1574069807655827151,144,1574069807655405841,base_link,0.0,0.0
1574069807862278264,145,1574069807862090801,base_link,0.0,0.0
1574069808109307528,146,1574069808108816121,base_link,0.0,0.0
1574069808342724217,147,1574069808342491367,base_link,0.0,0.0
1574069808622373923,148,1574069808622012125,base_link,0.0,0.0
1574069808832331461,149,1574069808832127936,base_link,0.0,0.0
1574069809068401639,150,1574069809068074181,base_link,0.0,0.0
1574069809332189379,151,1574069809331971988,base_link,0.0,0.0
1574069809573283739,152,1574069809572837458,base_link,0.0,0.0
1574069809789094985,153,1574069809788857310,base_link,0.0,0.0
1574069810021819822,154,1574069810021574635,base_link,0.0,0.0
1574069810266852217,155,1574069810266429827,base_link,0.0,0.0
1574069810513730786,156,1574069810513498172,base_link,0.0,0.0
1574069810743485410,157,1574069810743161146,base_link,0.0,0.0
1574069810986087076,158,1574069810985892429,base_link,0.0,0.0
1574069811222892260,159,1574069811222524515,base_link,0.0,0.0
1574069811476620132,160,1574069811476436471,base_link,0.0,0.0
1574069811749138529,161,1574069811748793098,base_link,0.0,0.0
1574069811946074681,162,1574069811945852839,base_link,0.0,0.0
1574069812186326743,163,1574069812185841109,base_link,0.0,0.0
1574069812441996647,164,1574069812441751201,base_link,0.0,0.0
1574069812667864310,165,1574069812667387925,base_link,0.0,0.0
1574069812925274871,166,1574069812925060201,base_link,0.0,0.0
1574069813155888407,167,1574069813155441764,base_link,0.0,0.0
1574069813391551294,168,1574069813391340876,base_link,0.0,0.0
1574069813630074980,169,1574069813629889419,base_link,0.0,0.0
1574069813876554800,170,1574069813876154740,base_link,0.0,0.0
1574069814105892272,171,1574069814105565249,base_link,0.0,0.0
1574069814357196418,172,1574069814356800072,base_link,0.0,0.0
1574069814593178806,173,1574069814592971674,base_link,0.0,0.0
1574069814827922791,174,1574069814827517548,base_link,0.0,0.0
1574069815064762808,175,1574069815064555713,base_link,0.0,0.0
1574069815306969286,176,1574069815306648757,base_link,0.0,0.0
1574069815546448508,177,1574069815546226433,base_link,0.0,0.0
1574069815801786829,178,1574069815801291134,base_link,0.0,0.0
1574069816031717180,179,1574069816031492337,base_link,0.0,0.0
1574069816267820766,180,1574069816267342438,base_link,0.0,0.0
1574069816511412017,181,1574069816511198845,base_link,0.0,0.0
1574069816756132334,182,1574069816755715558,base_link,0.0,0.0
1574069816988251929,183,1574069816987737572,base_link,0.0,0.0
1574069817224462201,184,1574069817224242646,base_link,0.0,0.0
1574069817467425302,185,1574069817467004898,base_link,0.0,0.0
1574069817716418415,186,1574069817716020975,base_link,0.0,0.0
1574069817975521579,187,1574069817975287119,base_link,0.0,0.0
1574069818232532350,188,1574069818232063985,base_link,0.0,0.0
1574069818430757540,189,1574069818430566474,base_link,0.0,0.0
1574069818667489848,190,1574069818667322905,base_link,0.0,0.0
1574069818913094706,191,1574069818912737561,base_link,0.0,0.0
1574069819171052168,192,1574069819170820594,base_link,0.0,0.0
1574069819391937067,193,1574069819391466076,base_link,0.0,0.0
1574069819633799287,194,1574069819633534733,base_link,0.0,0.0
1574069819888078288,195,1574069819887710971,base_link,0.0,0.0
1574069820135898337,196,1574069820135692241,base_link,0.0,0.0
1574069820363926434,197,1574069820363489431,base_link,0.0,0.0
1574069820612943834,198,1574069820612679391,base_link,0.0,0.0
1574069820841396151,199,1574069820840950577,base_link,0.0,0.0
1574069821090534020,200,1574069821090254465,base_link,0.0,0.0
1574069821316606258,201,1574069821316215888,base_link,0.0,0.0
1574069821563101371,202,1574069821562895762,base_link,0.0,0.0
1574069821794667000,203,1574069821794292019,base_link,0.0,0.0
1574069822049513773,204,1574069822049253462,base_link,0.0,0.0
1574069822275264000,205,1574069822274981080,base_link,0.0,0.0
1574069822513413776,206,1574069822513129365,base_link,0.0,0.0
1574069822745193279,207,1574069822745022068,base_link,0.0,0.0
1574069822992922833,208,1574069822992554304,base_link,0.0,0.0
1574069823225372376,209,1574069823225151844,base_link,0.0,0.0
1574069823466914755,210,1574069823466448469,base_link,0.0,0.0
1574069823705615643,211,1574069823705431511,base_link,0.0,0.0
1574069823957841381,212,1574069823957418902,base_link,0.0,0.0
1574069824191145507,213,1574069824190946118,base_link,0.0,0.0
1574069824432593493,214,1574069824432188785,base_link,0.0,0.0
1574069824664880862,215,1574069824664680006,base_link,0.0,0.0
1574069824905523123,216,1574069824905101069,base_link,0.0,0.0
1574069825144507299,217,1574069825144279166,base_link,0.0,0.0
1574069825386380085,218,1574069825386101250,base_link,0.0,0.0
1574069825625888161,219,1574069825625470120,base_link,0.0,0.0
1574069825865381971,220,1574069825865218140,base_link,0.0,0.0
1574069826116299323,221,1574069826115898736,base_link,0.0,0.0
1574069826345568490,222,1574069826345386901,base_link,0.0,0.0
1574069826592848646,223,1574069826592452184,base_link,0.0,0.0
1574069826830118206,224,1574069826829924524,base_link,0.0,0.0
1574069827069270252,225,1574069827068856884,base_link,0.0,0.0
1574069827304622514,226,1574069827304392098,base_link,0.0,0.0
1574069827555470294,227,1574069827555045766,base_link,0.0,0.0
1574069827795616152,228,1574069827795384702,base_link,0.0,0.0
1574069828031190536,229,1574069828030744412,base_link,0.0,0.0
1574069828305718054,230,1574069828305518542,base_link,0.0,0.0
